Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Ind	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_+	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+3	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Ind	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_+	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_cc:preconj	dep_dist_ccomp	dep_dist_compound	dep_dist_compound:nn	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_csubj:cop	dep_dist_det	dep_dist_fixed	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:gobj	dep_dist_nmod:gsubj	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nsubj:cop	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	dep_dist_xcomp:ds	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_4
finnish_clean_1.conllu	1	11	11.0	6.7	9.090909090909092	9.090909090909092	0	9.090909090909092	9.090909090909092	45.45454545454545	0	0	9.090909090909092	9.090909090909092	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	100.0	0	0	0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	3.0	11.0	7.0	2.7777777777777777	7	0	0	0	0	0	100.0	0.0	0	0	0	0	9.090909090909092	0	0	0	9.090909090909092	9.090909090909092	0	0	0	0	0	9.090909090909092	9.090909090909092	0	0	0	0	0	0	0	18.181818181818183	0	9.090909090909092	0	0	9.090909090909092	0	9.090909090909092	9.090909090909092	0	0	100.0	0.0	0	0	0	0	0	0
finnish_clean_2.conllu	1	17	17.0	7.0	11.764705882352942	0	5.882352941176471	5.882352941176471	11.764705882352942	17.647058823529413	5.882352941176471	17.647058823529413	0	11.764705882352942	0	11.764705882352942	0	0.5333333333333333	100.0	0	100.0	50.0	50.0	0	100.0	0	0	0	0	100.0	0	100.0	100.0	0	0	0	0	0	100.0	3.0	100.0	3.5	0	0	0	50.0	50.0	0	0	3.0	5.666666666666667	9.0	2.2857142857142856	9	0	0	0	100.0	0.0	100.0	0.0	0	0	5.882352941176471	5.882352941176471	5.882352941176471	0	0	0	0	11.764705882352942	0	0	0	0	0	11.764705882352942	5.882352941176471	0	0	0	0	0	0	0	0	5.882352941176471	5.882352941176471	5.882352941176471	5.882352941176471	11.764705882352942	0	11.764705882352942	5.882352941176471	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
finnish_clean_3.conllu	1	14	14.0	5.0	0	7.142857142857143	0	0	21.428571428571427	35.714285714285715	0	7.142857142857143	7.142857142857143	14.285714285714286	0	7.142857142857143	0	0.5833333333333334	100.0	0	100.0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	14.0	11.0	3.090909090909091	11	1.0	1	100.0	50.0	50.0	100.0	0.0	0	0	0	0	0	0	0	0	7.142857142857143	21.428571428571427	0	0	0	0	0	21.428571428571427	0	0	0	0	0	7.142857142857143	7.142857142857143	0	0	7.142857142857143	0	0	7.142857142857143	0	0	14.285714285714286	7.142857142857143	0	0	100.0	0.0	0	0	0	0	0	0
finnish_clean_4.conllu	1	12	12.0	5.636363636363637	0	0	16.666666666666668	8.333333333333334	8.333333333333334	50.0	0	8.333333333333334	0	8.333333333333334	0	0	0	0.7272727272727273	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	100.0	0	0	0	100.0	0	0	1.0	100.0	0	0	0	0	0	0	0	0	3.0	12.0	5.0	2.0	5	0	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	0	8.333333333333334	0	0	0	0	0	8.333333333333334	8.333333333333334	0	0	0	0	0	0	0	33.333333333333336	0	8.333333333333334	0	0	16.666666666666668	0	8.333333333333334	8.333333333333334	0	0	100.0	0.0	0	0	0	0	0	0
finnish_clean_5.conllu	1	12	12.0	6.090909090909091	0	0	25.0	0	8.333333333333334	33.333333333333336	0	8.333333333333334	0	8.333333333333334	0	16.666666666666668	0	0.8181818181818182	100.0	0	100.0	50.0	0	50.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	3.0	0	0	50.0	0	50.0	0	0	3.0	6.0	5.0	1.9	5	0	0	0	0	0	0.0	100.0	0	0	0	16.666666666666668	0	0	0	0	0	8.333333333333334	0	0	0	0	0	8.333333333333334	0	0	0	0	0	0	0	0	16.666666666666668	8.333333333333334	0	0	0	16.666666666666668	0	8.333333333333334	8.333333333333334	0	8.333333333333334	50.0	50.0	100.0	0.0	1.0	100.0	0	0
finnish_clean_6.conllu	1	20	20.0	7.125	0	0	5.0	0	10.0	35.0	0	10.0	5.0	20.0	5.0	10.0	0	0.6875	100.0	0	100.0	50.0	0	50.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	3.0	50.0	0	0	0	0	0	50.0	3.0	10.0	15.0	3.2	15	0	0	0	50.0	50.0	100.0	0.0	5.0	0	5.0	5.0	0	0	0	0	0	10.0	0	0	0	0	0	10.0	0	0	0	0	5.0	15.0	5.0	0	0	5.0	0	0	5.0	5.0	0	20.0	5.0	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
finnish_clean_7.conllu	1	17	17.0	6.928571428571429	0	0	5.882352941176471	0	17.647058823529413	41.1764705882353	0	5.882352941176471	5.882352941176471	17.647058823529413	0	5.882352941176471	0	0.7142857142857143	100.0	0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	17.0	13.0	3.3076923076923075	13	0	0	0	100.0	0.0	0	0	0	0	0	5.882352941176471	0	0	0	0	0	17.647058823529413	0	0	0	0	0	17.647058823529413	0	0	5.882352941176471	0	0	0	0	0	11.764705882352942	0	0	0	5.882352941176471	11.764705882352942	0	17.647058823529413	5.882352941176471	0	0	100.0	0.0	0	0	0	0	0	0
finnish_clean_8.conllu	1	14	14.0	6.75	7.142857142857143	0	7.142857142857143	14.285714285714286	7.142857142857143	28.571428571428573	0	7.142857142857143	0	14.285714285714286	0	14.285714285714286	0	0.6666666666666666	100.0	0	100.0	50.0	0	50.0	0	0	0	0	100.0	0	0	0	50.0	0	50.0	0	0	0	100.0	2.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	7.0	7.0	2.272727272727273	7	0	0	0	0.0	100.0	100.0	0.0	0	0	0	7.142857142857143	7.142857142857143	0	7.142857142857143	7.142857142857143	0	7.142857142857143	0	0	0	0	0	7.142857142857143	0	0	0	0	0	0	0	0	7.142857142857143	7.142857142857143	0	0	14.285714285714286	7.142857142857143	0	14.285714285714286	7.142857142857143	0	0	100.0	0.0	0	0	0	0	0	0
finnish_clean_9.conllu	1	16	16.0	7.214285714285714	0	6.25	0	0	25.0	43.75	0	0	6.25	12.5	0	6.25	0	0.6428571428571429	100.0	0	100.0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	16.0	11.0	3.1538461538461537	11	0	0	0	0.0	100.0	100.0	0.0	0	0	0	0	0	0	0	0	6.25	25.0	0	0	0	0	0	31.25	0	0	0	0	0	0	0	0	0	6.25	0	0	6.25	6.25	0	12.5	6.25	0	0	100.0	0.0	0	0	0	0	0	0
finnish_clean_10.conllu	1	15	15.0	8.076923076923077	13.333333333333334	0	6.666666666666667	20.0	0	20.0	0	13.333333333333334	6.666666666666667	13.333333333333334	0	6.666666666666667	0	0.6153846153846154	100.0	0	100.0	100.0	0	0	0	100.0	0	0	0	0	0	0	33.333333333333336	0	66.66666666666667	0	0	0	100.0	3.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	5.0	8.0	2.4166666666666665	8	0	0	0	0.0	100.0	50.0	50.0	0	0	0	6.666666666666667	6.666666666666667	0	6.666666666666667	0	0	0	0	0	0	0	0	0	13.333333333333334	0	0	0	0	0	0	0	13.333333333333334	6.666666666666667	6.666666666666667	0	6.666666666666667	13.333333333333334	0	13.333333333333334	6.666666666666667	0	0	33.333333333333336	66.66666666666667	50.0	50.0	1.0	100.0	0	0
