identifier	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_PROPN	upos_dist_SYM	upos_dist_ADP	upos_dist_DET	upos_dist_ADV	upos_dist_AUX	upos_dist_X	upos_dist_ADJ	upos_dist_NOUN	upos_dist_PRON	upos_dist_INTJ	upos_dist_CCONJ	upos_dist_NUM	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	lexical_density	verbs_mood_dist_GenPot	verbs_mood_dist_Imp	verbs_mood_dist_GenNec	verbs_mood_dist_Nec	verbs_mood_dist_CndGen	verbs_mood_dist_Ind	verbs_mood_dist_Opt	verbs_mood_dist_CndPot	verbs_mood_dist_Gen	verbs_mood_dist_Pot	verbs_mood_dist_Cnd	verbs_tense_dist_Pres	verbs_tense_dist_Past	verbs_tense_dist_Pqp	verbs_tense_dist_Fut	verbs_form_dist_Conv	verbs_form_dist_Vnoun	verbs_form_dist_Part	verbs_num_pers_dist	aux_mood_dist_CndGen	aux_mood_dist_GenPot	aux_mood_dist_Imp	aux_mood_dist_Nec	aux_mood_dist_Cnd	aux_mood_dist_Ind	aux_mood_dist_Gen	aux_tense_dist_Pres	aux_tense_dist_Pqp	aux_tense_dist_Fut	aux_tense_dist_Past	aux_form_dist_Vnoun	aux_form_dist_Conv	aux_num_pers_dist	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_aux:q	dep_dist_cc:preconj	dep_dist_case	dep_dist_nmod:poss	dep_dist_advmod	dep_dist_discourse	dep_dist_det	dep_dist_punct	dep_dist_clf	dep_dist_obj	dep_dist_dep	dep_dist_nmod	dep_dist_cop	dep_dist_nummod	dep_dist_goeswith	dep_dist_conj	dep_dist_mark	dep_dist_compound:redup	dep_dist_dislocated	dep_dist_flat	dep_dist_parataxis	dep_dist_root	dep_dist_amod	dep_dist_advcl	dep_dist_appos	dep_dist_csubj	dep_dist_ccomp	dep_dist_compound	dep_dist_advmod:emph	dep_dist_iobj	dep_dist_nsubj	dep_dist_obl	dep_dist_orphan	dep_dist_cc	dep_dist_aux	dep_dist_acl	dep_dist_fixed	dep_dist_xcomp	dep_dist_compound:lvc	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prepositional_chain_distribution	subordinate_chains_distribution	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_1	verb_edges_dist_6	verb_edges_dist_0	verb_edges_dist_5	avg_verb_edges
01001011.conllu	1	31	31.0	6.777777777777778	12.903225806451612	0	3.225806451612903	3.225806451612903	3.225806451612903	3.225806451612903	0	19.35483870967742	35.483870967741936	0	0	0	0	12.903225806451612	0	6.451612903225806	0.8888888888888888	0	0	0	0	0	50.0	0	0	50.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	3.0	100.0	10.333333333333334	3.423076923076923	26.0	26.0	0	0	0	3.225806451612903	19.35483870967742	0	0	3.225806451612903	12.903225806451612	0	0	0	3.225806451612903	3.225806451612903	0	0	0	0	0	0	3.225806451612903	0	3.225806451612903	16.129032258064516	3.225806451612903	0	3.225806451612903	3.225806451612903	0	3.225806451612903	0	6.451612903225806	9.67741935483871	0	0	0	3.225806451612903	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	50.0	0	0	50.0	0	2.0
01001013.conllu	1	17	17.0	5.5625	11.764705882352942	0	11.764705882352942	5.882352941176471	11.764705882352942	5.882352941176471	0	11.764705882352942	35.294117647058826	0	0	0	0	5.882352941176471	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	2.4	13.0	13.0	0	0	0	11.764705882352942	11.764705882352942	11.764705882352942	0	5.882352941176471	5.882352941176471	0	5.882352941176471	0	0	5.882352941176471	0	0	0	0	0	0	5.882352941176471	0	5.882352941176471	11.764705882352942	0	0	0	0	0	0	0	5.882352941176471	5.882352941176471	0	0	0	0	0	0	5.882352941176471	100.0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01002017.conllu	1	32	32.0	7.115384615384615	3.125	0	12.5	0	3.125	3.125	0	9.375	46.875	0	0	0	0	18.75	0	3.125	0.8076923076923077	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	2.0	100.0	16.0	3.84	26.0	26.0	0	0	0	9.375	18.75	0	0	0	18.75	0	9.375	0	6.25	3.125	0	0	0	0	0	0	0	0	3.125	12.5	6.25	0	0	0	0	0	0	3.125	6.25	0	0	0	3.125	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01002032.conllu	1	21	21.0	6.470588235294118	4.761904761904762	0	4.761904761904762	0	4.761904761904762	0	4.761904761904762	0	33.333333333333336	9.523809523809524	0	0	0	19.047619047619047	0	19.047619047619047	0.7647058823529411	0	0	0	0	0	75.0	0	0	25.0	0	0	50.0	50.0	0	0	0	50.0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	100.0	5.25	2.875	13.0	13.0	0	0	0	4.761904761904762	14.285714285714286	0	0	0	19.047619047619047	0	4.761904761904762	0	0	0	0	0	4.761904761904762	0	0	0	4.761904761904762	0	4.761904761904762	4.761904761904762	0	0	0	4.761904761904762	0	0	4.761904761904762	4.761904761904762	9.523809523809524	0	4.761904761904762	0	4.761904761904762	0	4.761904761904762	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	25.0	0	25.0	25.0	0	25.0	0	1.75
01002042.conllu	1	8	8.0	7.285714285714286	12.5	0	0	0	0	0	0	25.0	37.5	0	0	0	0	12.5	0	12.5	1.0	0	0	0	0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	8.0	2.1666666666666665	5.0	5.0	0	0	0	0	25.0	0	0	0	12.5	0	0	0	12.5	0	0	0	0	0	0	0	0	0	12.5	25.0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01002058.conllu	1	7	7.0	7.0	0	0	0	0	14.285714285714286	0	0	28.571428571428573	14.285714285714286	0	0	14.285714285714286	0	14.285714285714286	0	14.285714285714286	0.8333333333333334	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	7.0	1.8	3.0	3.0	0	0	0	0	0	14.285714285714286	0	0	14.285714285714286	0	0	0	0	0	0	0	14.285714285714286	0	0	0	0	0	14.285714285714286	0	0	0	0	0	0	0	0	14.285714285714286	0	0	14.285714285714286	0	14.285714285714286	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01003007.conllu	1	8	8.0	5.0	0	0	0	0	0	12.5	0	12.5	50.0	0	0	0	12.5	12.5	0	0	0.7142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	1.6666666666666667	4.0	4.0	0	0	0	0	12.5	0	0	0	12.5	0	0	0	0	12.5	12.5	0	0	0	0	0	0	0	12.5	25.0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01003010.conllu	1	30	30.0	6.814814814814815	0	0	0	3.3333333333333335	6.666666666666667	0	33.333333333333336	6.666666666666667	33.333333333333336	0	0	3.3333333333333335	0	10.0	0	3.3333333333333335	0.5555555555555556	0	0	0	0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	30.0	5.576923076923077	26.0	26.0	0	0	0	0	13.333333333333334	0	0	3.3333333333333335	10.0	0	3.3333333333333335	0	3.3333333333333335	0	0	0	10.0	0	0	0	23.333333333333332	0	3.3333333333333335	6.666666666666667	3.3333333333333335	0	0	0	3.3333333333333335	3.3333333333333335	0	3.3333333333333335	6.666666666666667	0	3.3333333333333335	0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01003012.conllu	1	15	15.0	6.076923076923077	13.333333333333334	0	6.666666666666667	0	6.666666666666667	13.333333333333334	13.333333333333334	0	20.0	0	0	0	0	13.333333333333334	0	13.333333333333334	0.6153846153846154	0	0	0	0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	2.0	100.0	7.5	3.5	11.0	11.0	0	0	0	6.666666666666667	13.333333333333334	6.666666666666667	0	0	13.333333333333334	0	0	0	0	13.333333333333334	0	0	0	0	0	0	13.333333333333334	0	6.666666666666667	6.666666666666667	13.333333333333334	0	0	0	0	0	0	6.666666666666667	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01003013.conllu	1	8	8.0	5.285714285714286	0	0	0	0	37.5	12.5	0	0	37.5	0	0	0	0	12.5	0	0	0.8571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	1.8333333333333333	5.0	5.0	0	0	0	0	12.5	25.0	0	0	12.5	0	0	0	0	12.5	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	12.5	0	12.5	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
