identifier	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_SYM	upos_dist_PRON	upos_dist_PROPN	upos_dist_ADP	upos_dist_NUM	upos_dist_DET	upos_dist_ADJ	upos_dist_AUX	upos_dist_PART	upos_dist_NOUN	upos_dist_ADV	upos_dist_SCONJ	upos_dist_VERB	upos_dist_INTJ	upos_dist_PUNCT	upos_dist_CCONJ	upos_dist_X	lexical_density	verbs_mood_dist_Ind	verbs_tense_dist_Pres	verbs_tense_dist_Past	verbs_form_dist_Part	verbs_form_dist_Inf	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_num_pers_dist_Sing+3	verbs_num_pers_dist_+	aux_mood_dist_Ind	aux_tense_dist_Past	aux_tense_dist_Pres	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_form_dist_Ger	aux_num_pers_dist_Sing+3	aux_num_pers_dist_Sing+1	aux_num_pers_dist_+	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_ccomp	dep_dist_det:predet	dep_dist_reparandum	dep_dist_nmod:tmod	dep_dist_aux	dep_dist_cc	dep_dist_compound	dep_dist_goeswith	dep_dist_nmod:poss	dep_dist_acl:relcl	dep_dist_nsubj:pass	dep_dist_nsubj	dep_dist_aux:pass	dep_dist_advmod	dep_dist_fixed	dep_dist_cc:preconj	dep_dist_xcomp	dep_dist_advcl	dep_dist_appos	dep_dist_nummod	dep_dist_conj	dep_dist_iobj	dep_dist_cop	dep_dist_obl:npmod	dep_dist_expl	dep_dist_mark	dep_dist_dislocated	dep_dist_vocative	dep_dist_nmod	dep_dist_flat	dep_dist_obj	dep_dist_dep	dep_dist_csubj	dep_dist_parataxis	dep_dist_root	dep_dist_compound:prt	dep_dist_acl	dep_dist_csubj:pass	dep_dist_case	dep_dist_det	dep_dist_obl	dep_dist_nmod:npmod	dep_dist_punct	dep_dist_obl:tmod	dep_dist_amod	dep_dist_orphan	dep_dist_discourse	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prepositional_chain_distribution	subordinate_chains_distribution	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_6	verb_edges_dist_5	verb_edges_dist_2	verb_edges_dist_0	verb_edges_dist_1	avg_verb_edges
01001011.conllu	1	35	35.0	5.033333333333333	0	0	17.142857142857142	11.428571428571429	0	11.428571428571429	14.285714285714286	5.714285714285714	0	17.142857142857142	2.857142857142857	2.857142857142857	2.857142857142857	0	14.285714285714286	0	0	0.6333333333333333	100.0	0	100.0	0	0	100.0	0	0	100.0	100.0	0	100.0	100.0	0	0	0	100.0	0	0	2.0	100.0	17.5	3.0344827586206895	11.0	11.0	0	0	0	0	2.857142857142857	0	0	8.571428571428571	0	0	0	0	8.571428571428571	0	2.857142857142857	0	0	0	2.857142857142857	0	0	0	0	2.857142857142857	0	0	2.857142857142857	0	0	5.714285714285714	5.714285714285714	0	0	0	2.857142857142857	2.857142857142857	0	0	0	11.428571428571429	11.428571428571429	5.714285714285714	0	14.285714285714286	0	8.571428571428571	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	3.0
01001013.conllu	1	18	18.0	4.875	0	16.666666666666668	11.11111111111111	11.11111111111111	0	5.555555555555555	16.666666666666668	11.11111111111111	0	11.11111111111111	0	0	5.555555555555555	0	11.11111111111111	0	0	0.5	100.0	100.0	0	0	0	100.0	0	0	100.0	0	0	0	50.0	50.0	0	0	0	0	100.0	1.0	0	18.0	2.933333333333333	15.0	15.0	0	0	0	0	0	5.555555555555555	0	11.11111111111111	0	0	5.555555555555555	0	11.11111111111111	0	0	0	0	0	0	0	0	0	0	5.555555555555555	5.555555555555555	0	0	0	0	5.555555555555555	0	5.555555555555555	0	0	0	5.555555555555555	0	0	0	11.11111111111111	5.555555555555555	5.555555555555555	0	11.11111111111111	0	5.555555555555555	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	2.0
01002017.conllu	1	37	37.0	5.129032258064516	0	5.405405405405405	2.7027027027027026	16.216216216216218	0	8.108108108108109	8.108108108108109	2.7027027027027026	0	24.324324324324323	0	2.7027027027027026	10.81081081081081	0	16.216216216216218	2.7027027027027026	0	0.5483870967741935	100.0	0	100.0	25.0	25.0	25.0	25.0	0	100.0	0	0	0	100.0	0	0	0	0	0	100.0	4.0	100.0	9.25	3.2666666666666666	15.0	15.0	0	2.7027027027027026	0	0	0	2.7027027027027026	2.7027027027027026	5.405405405405405	0	2.7027027027027026	0	0	5.405405405405405	0	0	0	0	0	2.7027027027027026	0	0	0	0	0	0	0	5.405405405405405	0	0	5.405405405405405	0	5.405405405405405	0	0	0	2.7027027027027026	0	2.7027027027027026	0	13.513513513513514	8.108108108108109	8.108108108108109	0	16.216216216216218	0	8.108108108108109	0	0	100.0	0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	25.0	25.0	25.0	25.0	2.0
01002032.conllu	1	40	40.0	4.0285714285714285	0	10.0	7.5	15.0	0	15.0	2.5	0	2.5	17.5	2.5	0	12.5	0	12.5	2.5	0	0.4857142857142857	100.0	50.0	50.0	20.0	20.0	60.0	0	33.333333333333336	66.66666666666667	0	0	0	0	0	0	0	0	0	0	5.0	100.0	8.0	3.088235294117647	22.0	22.0	0	0	0	0	0	0	2.5	5.0	0	2.5	0	0	7.5	0	2.5	0	0	2.5	0	0	0	2.5	0	0	0	0	2.5	0	0	7.5	0	5.0	0	0	2.5	2.5	0	2.5	0	15.0	15.0	7.5	0	12.5	0	2.5	0	0	100.0	0	0	100.0	0	0	0	0	0	100.0	0	0	0	40.0	0	0	0	20.0	20.0	20.0	1.8
01002042.conllu	1	12	12.0	4.454545454545454	0	0	8.333333333333334	8.333333333333334	0	8.333333333333334	16.666666666666668	8.333333333333334	8.333333333333334	25.0	0	0	8.333333333333334	0	8.333333333333334	0	0	0.6363636363636364	0	0	100.0	100.0	0	0	0	0	0	100.0	0	100.0	100.0	0	0	0	100.0	0	0	1.0	100.0	12.0	2.5	6.0	6.0	0	0	0	0	0	0	0	8.333333333333334	0	8.333333333333334	0	8.333333333333334	0	8.333333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.333333333333334	0	0	0	16.666666666666668	8.333333333333334	8.333333333333334	0	8.333333333333334	0	16.666666666666668	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01002058.conllu	1	18	18.0	4.142857142857143	0	33.333333333333336	0	0	0	0	5.555555555555555	16.666666666666668	0	0	5.555555555555555	0	11.11111111111111	0	22.22222222222222	5.555555555555555	0	0.2857142857142857	0	0	0	0	0	0	100.0	0	0	100.0	0	100.0	100.0	0	0	0	100.0	0	0	2.0	0	9.0	3.4615384615384617	13.0	13.0	0	0	0	5.555555555555555	0	11.11111111111111	5.555555555555555	0	0	0	0	0	16.666666666666668	0	5.555555555555555	0	0	0	0	0	0	5.555555555555555	0	5.555555555555555	0	0	0	5.555555555555555	0	0	0	11.11111111111111	0	0	0	5.555555555555555	0	0	0	0	0	0	0	22.22222222222222	0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	3.0
01003007.conllu	1	9	9.0	4.571428571428571	11.11111111111111	0	0	11.11111111111111	11.11111111111111	11.11111111111111	0	0	0	22.22222222222222	0	0	11.11111111111111	0	22.22222222222222	0	0	0.42857142857142855	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	9.0	2.1666666666666665	6.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11111111111111	11.11111111111111	0	0	0	0	0	0	0	0	11.11111111111111	0	0	0	0	0	11.11111111111111	0	11.11111111111111	0	11.11111111111111	11.11111111111111	0	0	22.22222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0
01003010.conllu	1	37	37.0	5.90625	0	0	8.108108108108109	10.81081081081081	0	10.81081081081081	8.108108108108109	0	2.7027027027027026	35.13513513513514	0	0	8.108108108108109	0	13.513513513513514	2.7027027027027026	0	0.6875	100.0	0	100.0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	100.0	0	0	0	0	0	0	0	0	0	0	3.0	100.0	12.333333333333334	2.967741935483871	15.0	15.0	0	0	0	0	0	0	2.7027027027027026	16.216216216216218	0	0	0	0	2.7027027027027026	0	0	0	0	0	5.405405405405405	0	0	8.108108108108109	0	0	0	0	2.7027027027027026	0	0	5.405405405405405	0	5.405405405405405	0	0	0	2.7027027027027026	0	0	0	10.81081081081081	10.81081081081081	5.405405405405405	0	13.513513513513514	0	8.108108108108109	0	0	100.0	0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	33.333333333333336	33.333333333333336	33.333333333333336	1.0
01003012.conllu	1	19	19.0	5.111111111111111	0	0	15.789473684210526	10.526315789473685	0	10.526315789473685	15.789473684210526	5.2631578947368425	5.2631578947368425	15.789473684210526	10.526315789473685	0	5.2631578947368425	0	5.2631578947368425	0	0	0.6666666666666666	0	0	100.0	100.0	0	0	0	0	0	100.0	100.0	0	100.0	0	0	0	100.0	0	0	1.0	100.0	19.0	2.5294117647058822	7.0	7.0	0	0	0	0	0	0	0	5.2631578947368425	0	5.2631578947368425	0	5.2631578947368425	0	5.2631578947368425	10.526315789473685	0	0	0	0	0	0	0	0	0	5.2631578947368425	0	0	0	0	5.2631578947368425	0	0	0	0	0	5.2631578947368425	0	0	0	15.789473684210526	10.526315789473685	5.2631578947368425	0	5.2631578947368425	0	15.789473684210526	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0
01003013.conllu	1	8	8.0	4.142857142857143	0	0	0	0	0	12.5	12.5	12.5	0	25.0	25.0	0	0	0	12.5	0	0	0.7142857142857143	0	0	0	0	0	0	0	0	0	100.0	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	2.5	6.0	6.0	0	0	0	0	0	0	0	12.5	0	0	0	0	12.5	0	25.0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	12.5	0	0	12.5	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
