identifier	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_PART	upos_dist_PUNCT	upos_dist_PRON	upos_dist_ADJ	upos_dist_PROPN	upos_dist_VERB	upos_dist_CCONJ	upos_dist_ADV	upos_dist_AUX	upos_dist_X	upos_dist_NOUN	upos_dist_NUM	upos_dist_DET	lexical_density	verbs_mood_dist_Ind	verbs_mood_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Fut	verbs_form_dist_Ger	verbs_form_dist_Fin	verbs_num_pers_dist_+	aux_mood_dist_Ind	aux_tense_dist_Past	aux_form_dist_Fin	aux_form_dist_Ger	aux_num_pers_dist_+	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_flat:name	dep_dist_flat	dep_dist_nsubj:pass	dep_dist_advmod	dep_dist_aux	dep_dist_csubj	dep_dist_dep	dep_dist_orphan	dep_dist_ccomp	dep_dist_advcl	dep_dist_cc	dep_dist_obj	dep_dist_fixed	dep_dist_punct	dep_dist_csubj:pass	dep_dist_obl:tmod	dep_dist_iobj	dep_dist_cop	dep_dist_conj	dep_dist_acl:relcl	dep_dist_nsubj	dep_dist_root	dep_dist_discourse	dep_dist_appos	dep_dist_case	dep_dist_nmod:poss	dep_dist_nummod	dep_dist_vocative	dep_dist_amod	dep_dist_goeswith	dep_dist_det	dep_dist_compound:lvc	dep_dist_obl	dep_dist_compound	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prepositional_chain_distribution	subordinate_chains_distribution	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_0	verb_edges_dist_5	verb_edges_dist_1	verb_edges_dist_4	verb_edges_dist_6	avg_verb_edges	text	token_count	avg_token_freq	n_low_freq_words	avg_word_length	scaled_token_count	scaled_avg_word_length	scaled_lexical_density	scaled_avg_max_depth	scaled_avg_links_len	scaled_max_links_len	scaled_verbal_head_per_sent	scaled_avg_token_freq	scaled_n_low_freq_words
01001011.conllu	1	28	28.0	3.2	0.0	10.714285714285714	0.0	10.714285714285714	14.285714285714285	10.714285714285714	0.0	0.0	3.571428571428572	0.0	50.0	0.0	0.0	0.96	100.0	0.0	100.0	0.0	50.0	50.0	100.0	0.0	0.0	0.0	0.0	0.0	4.0	100.0	7.0	3.583333333333333	21.0	21.0	0	3.571428571428572	0.0	0.0	7.142857142857142	3.571428571428572	3.571428571428572	0.0	0.0	0.0	7.142857142857142	0.0	7.142857142857142	0.0	10.714285714285714	0.0	3.571428571428572	0.0	3.571428571428572	0.0	7.142857142857142	10.714285714285714	3.571428571428572	0.0	0.0	0.0	3.571428571428572	0.0	0.0	3.571428571428572	0.0	0.0	0.0	0.0	21.428571428571427	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0.0	0.0	33.333333333333336	0.0	66.66666666666667	0.0	0.0	0.6666666666666666	Kori Schulman 오바마 대통령 특별 보좌관은 월요일 "미국에서 디지털 전환의 대부분은 유례를 찾아보기 힘든 수준이지만 평화로운권력 이양은 그렇지 않다"라는 글을 블로그에 올렸다.	22	4.070454545454546	8	3.772727272727273	64.51612903225806	38.48257006151743	96.0	0.0	36.53198653198653	48.78048780487805	36.36363636363637	42.80988133679354	66.66666666666667
01001013.conllu	1	13	13.0	2.5	0.0	7.6923076923076925	7.6923076923076925	7.6923076923076925	7.6923076923076925	7.6923076923076925	0.0	7.6923076923076925	7.6923076923076925	0.0	46.153846153846146	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0	0.0	100.0	1.0	0.0	13.0	1.4545454545454546	3.0	3.0	0	0.0	0.0	0.0	15.384615384615385	0.0	0.0	7.6923076923076925	0.0	0.0	0.0	0.0	7.6923076923076925	0.0	7.6923076923076925	0.0	0.0	0.0	7.6923076923076925	0.0	7.6923076923076925	7.6923076923076925	7.6923076923076925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.76923076923077	100.0	0	100.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	1.0	소셜 미디어 전환을 따르는 미국 의회 의원들에게 이것은 조금 다를 것이다.	11	5.079090909090909	0	2.8181818181818183	29.032258064516128	16.951469583048535	83.33333333333334	0.0	6.427915518824612	4.878048780487804	9.090909090909092	69.18520572911508	0.0
01002017.conllu	1	38	38.0	2.870967741935484	7.894736842105262	18.42105263157895	2.631578947368421	2.631578947368421	5.2631578947368425	7.894736842105262	2.631578947368421	2.631578947368421	2.631578947368421	0.0	47.368421052631575	0.0	0.0	0.8064516129032258	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	9.5	5.533333333333332	36.0	36.0	0	2.631578947368421	0.0	0.0	7.894736842105262	2.631578947368421	0.0	0.0	0.0	0.0	10.526315789473683	0.0	5.2631578947368425	0.0	18.42105263157895	0.0	0.0	0.0	2.631578947368421	0.0	5.2631578947368425	5.2631578947368425	2.631578947368421	0.0	2.631578947368421	7.894736842105262	5.2631578947368425	0.0	0.0	2.631578947368421	0.0	0.0	2.631578947368421	0.0	15.789473684210524	100.0	0	100.0	0	0	0	0	0	0	0.0	0	0	0	33.333333333333336	0.0	33.333333333333336	0.0	33.333333333333336	0.0	0.0	1.0	그러나 이민자 수를 줄여야 한다던 과거의 발언과는 다르게 미국 공화당 대통령 후보 지명자는 자신이 대통령이 되면 “실적주의(merit system)”에 기반해"엄청난수"의 합법적인 이민자를 허용하겠다고 선포했다.	23	4.2965217391304344	8	4.173913043478261	67.74193548387096	47.53187316116378	80.64516129032258	0.0	64.1077441077441	85.36585365853658	36.36363636363637	48.72142268373331	66.66666666666667
01002032.conllu	1	22	22.0	2.8947368421052637	4.545454545454546	13.636363636363635	9.090909090909092	4.545454545454546	4.545454545454546	18.181818181818183	0.0	0.0	0.0	0.0	45.45454545454545	0.0	0.0	0.8421052631578947	100.0	0.0	0.0	0.0	50.0	50.0	100.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.5	3.4444444444444446	20.0	20.0	0	0.0	0.0	0.0	13.636363636363635	4.545454545454546	4.545454545454546	0.0	0.0	0.0	9.090909090909092	0.0	4.545454545454546	0.0	13.636363636363635	0.0	0.0	0.0	0.0	0.0	4.545454545454546	9.090909090909092	4.545454545454546	0.0	0.0	4.545454545454546	13.636363636363635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.636363636363635	100.0	0	100.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	25.0	0.0	50.0	0.0	25.0	2.0	그는 노스캐롤라이나 대학의 운동 경기장에 모인 군중에게 “부담 주기 싫지만 국가의 운명이 여러분의 어깨에 달려 있습니다”라고 말했다.	17	4.915294117647059	2	3.411764705882353	48.387096774193544	30.34055727554179	84.21052631578947	0.0	34.5679012345679	46.34146341463415	36.36363636363637	64.90200351223514	16.666666666666668
01002042.conllu	1	8	8.0	3.571428571428572	0.0	12.5	0.0	12.5	12.5	0.0	0.0	0.0	0.0	0.0	62.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1666666666666665	5.0	5.0	0	0.0	0.0	12.5	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	0.0	0.0	0.0	25.0	0.0	0.0	12.5	0.0	0.0	0.0	0.0	12.5	100.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	새로운 지출금은 클린턴의 거액의 은행 계좌에서 충당되었다.	7	3.81	4	3.7142857142857144	16.129032258064512	37.164339419978525	100.0	0.0	16.4983164983165	9.75609756097561	0.0	35.99912835040314	33.333333333333336
01002058.conllu	1	14	14.0	2.1666666666666665	0.0	14.285714285714285	14.285714285714285	7.142857142857142	0.0	21.428571428571427	0.0	7.142857142857142	7.142857142857142	0.0	28.57142857142857	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0	0.0	100.0	3.0	0.0	4.666666666666667	2.272727272727273	9.0	9.0	0	0.0	0.0	0.0	7.142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.285714285714285	0.0	0.0	0.0	7.142857142857142	7.142857142857142	28.57142857142857	28.57142857142857	7.142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	33.333333333333336	0.0	66.66666666666667	0.0	0.0	0.6666666666666666	그녀가 하는 말과 그녀가 하는 행동은 사실, 믿을 수 없을 정도이다.	11	5.973636363636363	0	2.5454545454545454	29.032258064516128	10.799726589200269	75.0	0.0	17.998163452708912	19.51219512195122	27.272727272727273	92.5771112739951	0.0
01003007.conllu	1	7	7.0	3.0	0.0	14.285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.14285714285714	28.57142857142857	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	3.0	3.0	0	0.0	0.0	14.285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.285714285714285	0.0	0.0	0.0	0.0	28.57142857142857	0.0	0.0	0.0	0.0	0.0	0.0	28.57142857142857	100.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1인당 최대 5,000달러가 허용되었다.	4	3.925	1	4.75	6.451612903225806	60.52631578947368	66.66666666666666	0.0	8.484848484848488	4.878048780487804	0.0	39.00631945957724	8.333333333333334
01003010.conllu	1	43	43.0	3.8181818181818175	2.3255813953488373	23.255813953488367	0.0	2.3255813953488373	11.627906976744184	4.651162790697675	0.0	0.0	0.0	2.3255813953488373	51.16279069767442	2.3255813953488373	0.0	0.9090909090909092	100.0	0.0	100.0	0.0	0.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	2.0	100.0	21.5	6.34375	39.0	39.0	0	0.0	0.0	0.0	4.651162790697675	0.0	0.0	4.651162790697675	0.0	0.0	2.3255813953488373	0.0	6.9767441860465125	0.0	23.255813953488367	0.0	0.0	0.0	0.0	4.651162790697675	2.3255813953488373	2.3255813953488373	2.3255813953488373	0.0	6.9767441860465125	2.3255813953488373	2.3255813953488373	2.3255813953488373	0.0	2.3255813953488373	0.0	0.0	0.0	0.0	30.232558139534888	100.0	0	100.0	0	0	0	0	0	0	100.0	0	0	0	0.0	0.0	50.0	0.0	50.0	0.0	0.0	0.5	10월 초, 인수 위원회는 같은 장소에서 우버(Uber), 미국영화협회(Motion Picture Association of America), 전미소비자기술협회(Consumer Technology Association)를 비롯한 단체의 대표들을 초청해서기술 로비스트 모임을 가졌다.	22	4.173636363636363	9	6.181818181818182	64.51612903225806	92.82296650717703	90.90909090909092	0.0	75.56818181818181	92.6829268292683	18.181818181818183	45.50803304344379	75.0
01003012.conllu	1	26	26.0	2.782608695652174	3.8461538461538463	11.538461538461537	0.0	3.8461538461538463	15.384615384615385	7.6923076923076925	0.0	3.8461538461538463	7.6923076923076925	0.0	38.46153846153846	0.0	7.6923076923076925	0.7826086956521741	0.0	0.0	0.0	100.0	0.0	0.0	0.0	100.0	100.0	100.0	0.0	100.0	3.0	0.0	8.666666666666666	4.045454545454546	22.0	22.0	0	3.8461538461538463	0.0	0.0	11.538461538461537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.538461538461537	0.0	0.0	0.0	7.6923076923076925	0.0	15.384615384615385	7.6923076923076925	3.8461538461538463	0.0	3.8461538461538463	3.8461538461538463	3.8461538461538463	0.0	0.0	0.0	0.0	7.6923076923076925	0.0	0.0	19.23076923076923	100.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	1.0	그 모임은 원래 몇 블록 떨어진 거리에 있는 워싱턴 회원제 사교 클럽인 H가의 메트로폴리탄 클럽(Metropolitan Club)에서 열릴 예정이었다.	18	4.361666666666666	6	3.7222222222222223	51.61290322580645	37.34335839598997	78.2608695652174	0.0	43.06703397612489	51.21951219512195	27.272727272727273	50.42492917847025	50.0
01003013.conllu	1	8	8.0	2.571428571428572	0.0	12.5	0.0	25.0	0.0	0.0	0.0	25.0	0.0	0.0	37.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	6.0	0	0.0	0.0	0.0	37.5	0.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	12.5	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	100.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	아마도 드레스 코드가 너무 갑갑했던 것 같다.	7	5.105714285714286	1	2.7142857142857144	16.129032258064512	14.607948442534912	100.0	0.0	14.141414141414142	12.19512195121951	0.0	69.88139339414128	8.333333333333334
